Trading date,open,close,high,low,volume
1927-12-30,17.66,17.66,17.66,17.66,0.0
1928-01-03,17.76,17.76,17.76,17.76,0.0
1928-01-04,17.72,17.72,17.72,17.72,0.0
1928-01-05,17.55,17.55,17.55,17.55,0.0
1928-01-06,17.66,17.66,17.66,17.66,0.0
1928-01-09,17.5,17.5,17.5,17.5,0.0
1928-01-10,17.37,17.37,17.37,17.37,0.0
1928-01-11,17.35,17.35,17.35,17.35,0.0
1928-01-12,17.47,17.47,17.47,17.47,0.0
1928-01-13,17.58,17.58,17.58,17.58,0.0
1928-01-16,17.29,17.29,17.29,17.29,0.0
1928-01-17,17.3,17.3,17.3,17.3,0.0
1928-01-18,17.26,17.26,17.26,17.26,0.0
1928-01-19,17.38,17.38,17.38,17.38,0.0
1928-01-20,17.48,17.48,17.48,17.48,0.0
1928-01-23,17.64,17.64,17.64,17.64,0.0
1928-01-24,17.71,17.71,17.71,17.71,0.0
1928-01-25,17.52,17.52,17.52,17.52,0.0
1928-01-26,17.63,17.63,17.63,17.63,0.0
1928-01-27,17.69,17.69,17.69,17.69,0.0
1928-01-30,17.49,17.49,17.49,17.49,0.0
1928-01-31,17.57,17.57,17.57,17.57,0.0
1928-02-01,17.53,17.53,17.53,17.53,0.0
1928-02-02,17.63,17.63,17.63,17.63,0.0
1928-02-03,17.4,17.4,17.4,17.4,0.0
1928-02-06,17.45,17.45,17.45,17.45,0.0
1928-02-07,17.44,17.44,17.44,17.44,0.0
1928-02-08,17.49,17.49,17.49,17.49,0.0
1928-02-09,17.55,17.55,17.55,17.55,0.0
1928-02-10,17.54,17.54,17.54,17.54,0.0
1928-02-14,17.44,17.44,17.44,17.44,0.0
1928-02-15,17.4,17.4,17.4,17.4,0.0
1928-02-16,17.35,17.35,17.35,17.35,0.0
1928-02-17,17.04,17.04,17.04,17.04,0.0
1928-02-20,16.95,16.95,16.95,16.95,0.0
1928-02-21,17.11,17.11,17.11,17.11,0.0
1928-02-23,17.13,17.13,17.13,17.13,0.0
1928-02-24,17.18,17.18,17.18,17.18,0.0
1928-02-27,17.11,17.11,17.11,17.11,0.0
1928-02-28,17.16,17.16,17.16,17.16,0.0
1928-02-29,17.26,17.26,17.26,17.26,0.0
1928-03-01,17.3,17.3,17.3,17.3,0.0
1928-03-02,17.3,17.3,17.3,17.3,0.0
1928-03-05,17.57,17.57,17.57,17.57,0.0
1928-03-06,17.67,17.67,17.67,17.67,0.0
1928-03-07,17.58,17.58,17.58,17.58,0.0
1928-03-08,17.64,17.64,17.64,17.64,0.0
1928-03-09,17.93,17.93,17.93,17.93,0.0
1928-03-12,18.0,18.0,18.0,18.0,0.0
1928-03-13,17.92,17.92,17.92,17.92,0.0
1928-03-14,17.93,17.93,17.93,17.93,0.0
1928-03-15,18.07,18.07,18.07,18.07,0.0
1928-03-16,18.26,18.26,18.26,18.26,0.0
1928-03-19,18.36,18.36,18.36,18.36,0.0
1928-03-20,18.46,18.46,18.46,18.46,0.0
1928-03-21,18.65,18.65,18.65,18.65,0.0
1928-03-22,18.6,18.6,18.6,18.6,0.0
1928-03-23,18.78,18.78,18.78,18.78,0.0
1928-03-26,19.05,19.05,19.05,19.05,0.0
1928-03-27,18.94,18.94,18.94,18.94,0.0
1928-03-28,18.89,18.89,18.89,18.89,0.0
1928-03-29,18.95,18.95,18.95,18.95,0.0
1928-03-30,19.28,19.28,19.28,19.28,0.0
1928-04-02,18.91,18.91,18.91,18.91,0.0
1928-04-03,19.02,19.02,19.02,19.02,0.0
1928-04-04,18.99,18.99,18.99,18.99,0.0
1928-04-05,19.23,19.23,19.23,19.23,0.0
1928-04-09,19.27,19.27,19.27,19.27,0.0
1928-04-10,19.1,19.1,19.1,19.1,0.0
1928-04-11,19.44,19.44,19.44,19.44,0.0
1928-04-12,19.41,19.41,19.41,19.41,0.0
1928-04-13,19.73,19.73,19.73,19.73,0.0
1928-04-16,19.68,19.68,19.68,19.68,0.0
1928-04-17,19.52,19.52,19.52,19.52,0.0
1928-04-18,19.52,19.52,19.52,19.52,0.0
1928-04-19,19.63,19.63,19.63,19.63,0.0
1928-04-20,19.34,19.34,19.34,19.34,0.0
1928-04-23,19.15,19.15,19.15,19.15,0.0
1928-04-24,19.25,19.25,19.25,19.25,0.0
1928-04-25,19.33,19.33,19.33,19.33,0.0
1928-04-26,19.47,19.47,19.47,19.47,0.0
1928-04-27,19.68,19.68,19.68,19.68,0.0
1928-04-30,19.75,19.75,19.75,19.75,0.0
1928-05-01,19.78,19.78,19.78,19.78,0.0
1928-05-02,19.83,19.83,19.83,19.83,0.0
1928-05-03,19.93,19.93,19.93,19.93,0.0
1928-05-04,20.24,20.24,20.24,20.24,0.0
1928-05-07,20.41,20.41,20.41,20.41,0.0
1928-05-08,20.27,20.27,20.27,20.27,0.0
1928-05-09,20.24,20.24,20.24,20.24,0.0
1928-05-10,20.21,20.21,20.21,20.21,0.0
1928-05-11,20.36,20.36,20.36,20.36,0.0
1928-05-14,20.44,20.44,20.44,20.44,0.0
1928-05-15,20.39,20.39,20.39,20.39,0.0
1928-05-16,20.05,20.05,20.05,20.05,0.0
1928-05-17,20.12,20.12,20.12,20.12,0.0
1928-05-18,19.92,19.92,19.92,19.92,0.0
1928-05-21,19.63,19.63,19.63,19.63,0.0
1928-05-22,19.36,19.36,19.36,19.36,0.0
1928-05-23,19.75,19.75,19.75,19.75,0.0
1928-05-24,19.87,19.87,19.87,19.87,0.0
1928-05-25,19.9,19.9,19.9,19.9,0.0
1928-05-28,19.57,19.57,19.57,19.57,0.0
1928-05-29,19.82,19.82,19.82,19.82,0.0
1928-05-31,20.0,20.0,20.0,20.0,0.0
1928-06-01,20.07,20.07,20.07,20.07,0.0
1928-06-04,19.8,19.8,19.8,19.8,0.0
1928-06-05,19.85,19.85,19.85,19.85,0.0
1928-06-06,19.66,19.66,19.66,19.66,0.0
1928-06-07,19.61,19.61,19.61,19.61,0.0
1928-06-08,19.37,19.37,19.37,19.37,0.0
1928-06-11,18.68,18.68,18.68,18.68,0.0
1928-06-12,18.34,18.34,18.34,18.34,0.0
1928-06-13,18.89,18.89,18.89,18.89,0.0
1928-06-14,19.05,19.05,19.05,19.05,0.0
1928-06-15,18.74,18.74,18.74,18.74,0.0
1928-06-18,18.4,18.4,18.4,18.4,0.0
1928-06-19,18.34,18.34,18.34,18.34,0.0
1928-06-20,18.57,18.57,18.57,18.57,0.0
1928-06-21,18.56,18.56,18.56,18.56,0.0
1928-06-22,18.54,18.54,18.54,18.54,0.0
1928-06-25,18.47,18.47,18.47,18.47,0.0
1928-06-26,18.68,18.68,18.68,18.68,0.0
1928-06-27,18.86,18.86,18.86,18.86,0.0
1928-06-28,19.07,19.07,19.07,19.07,0.0
1928-06-29,19.14,19.14,19.14,19.14,0.0
1928-07-02,18.98,18.98,18.98,18.98,0.0
1928-07-03,19.29,19.29,19.29,19.29,0.0
1928-07-05,19.48,19.48,19.48,19.48,0.0
1928-07-06,19.39,19.39,19.39,19.39,0.0
1928-07-09,19.46,19.46,19.46,19.46,0.0
1928-07-10,19.43,19.43,19.43,19.43,0.0
1928-07-11,18.95,18.95,18.95,18.95,0.0
1928-07-12,18.81,18.81,18.81,18.81,0.0
1928-07-13,18.96,18.96,18.96,18.96,0.0
1928-07-16,18.7,18.7,18.7,18.7,0.0
1928-07-17,18.8,18.8,18.8,18.8,0.0
1928-07-18,19.03,19.03,19.03,19.03,0.0
1928-07-19,18.99,18.99,18.99,18.99,0.0
1928-07-20,19.03,19.03,19.03,19.03,0.0
1928-07-23,19.12,19.12,19.12,19.12,0.0
1928-07-24,19.09,19.09,19.09,19.09,0.0
1928-07-25,19.2,19.2,19.2,19.2,0.0
1928-07-26,19.24,19.24,19.24,19.24,0.0
1928-07-27,19.42,19.42,19.42,19.42,0.0
1928-07-30,19.47,19.47,19.47,19.47,0.0
1928-07-31,19.43,19.43,19.43,19.43,0.0
1928-08-01,19.42,19.42,19.42,19.42,0.0
1928-08-02,19.33,19.33,19.33,19.33,0.0
1928-08-03,19.36,19.36,19.36,19.36,0.0
1928-08-06,19.58,19.58,19.58,19.58,0.0
1928-08-07,19.49,19.49,19.49,19.49,0.0
1928-08-08,19.25,19.25,19.25,19.25,0.0
1928-08-09,19.3,19.3,19.3,19.3,0.0
1928-08-10,19.25,19.25,19.25,19.25,0.0
1928-08-13,19.29,19.29,19.29,19.29,0.0
1928-08-14,19.13,19.13,19.13,19.13,0.0
1928-08-15,19.47,19.47,19.47,19.47,0.0
1928-08-16,19.61,19.61,19.61,19.61,0.0
1928-08-17,19.64,19.64,19.64,19.64,0.0
1928-08-20,19.77,19.77,19.77,19.77,0.0
1928-08-21,20.02,20.02,20.02,20.02,0.0
1928-08-22,20.0,20.0,20.0,20.0,0.0
1928-08-23,20.02,20.02,20.02,20.02,0.0
1928-08-24,20.34,20.34,20.34,20.34,0.0
1928-08-27,20.38,20.38,20.38,20.38,0.0
1928-08-28,20.54,20.54,20.54,20.54,0.0
1928-08-29,20.58,20.58,20.58,20.58,0.0
1928-08-30,20.61,20.61,20.61,20.61,0.0
1928-08-31,20.87,20.87,20.87,20.87,0.0
1928-09-04,20.97,20.97,20.97,20.97,0.0
1928-09-05,21.07,21.07,21.07,21.07,0.0
1928-09-06,20.94,20.94,20.94,20.94,0.0
1928-09-07,21.09,21.09,21.09,21.09,0.0
1928-09-10,20.92,20.92,20.92,20.92,0.0
1928-09-11,21.08,21.08,21.08,21.08,0.0
1928-09-12,21.16,21.16,21.16,21.16,0.0
1928-09-13,21.14,21.14,21.14,21.14,0.0
1928-09-14,21.14,21.14,21.14,21.14,0.0
1928-09-17,21.33,21.33,21.33,21.33,0.0
1928-09-18,21.18,21.18,21.18,21.18,0.0
1928-09-19,21.18,21.18,21.18,21.18,0.0
1928-09-20,21.22,21.22,21.22,21.22,0.0
1928-09-21,21.36,21.36,21.36,21.36,0.0
1928-09-24,21.43,21.43,21.43,21.43,0.0
1928-09-25,21.41,21.41,21.41,21.41,0.0
1928-09-26,21.4,21.4,21.4,21.4,0.0
1928-09-27,21.13,21.13,21.13,21.13,0.0
1928-09-28,21.14,21.14,21.14,21.14,0.0
1928-10-01,21.36,21.36,21.36,21.36,0.0
1928-10-02,21.26,21.26,21.26,21.26,0.0
1928-10-03,21.19,21.19,21.19,21.19,0.0
1928-10-04,21.26,21.26,21.26,21.26,0.0
1928-10-05,21.22,21.22,21.22,21.22,0.0
1928-10-08,21.11,21.11,21.11,21.11,0.0
1928-10-09,21.18,21.18,21.18,21.18,0.0
1928-10-10,21.41,21.41,21.41,21.41,0.0
1928-10-11,21.51,21.51,21.51,21.51,0.0
1928-10-15,21.65,21.65,21.65,21.65,0.0
1928-10-16,21.72,21.72,21.72,21.72,0.0
1928-10-17,21.79,21.79,21.79,21.79,0.0
1928-10-18,21.84,21.84,21.84,21.84,0.0
1928-10-19,21.96,21.96,21.96,21.96,0.0
1928-10-22,21.81,21.81,21.81,21.81,0.0
1928-10-23,21.95,21.95,21.95,21.95,0.0
1928-10-24,21.99,21.99,21.99,21.99,0.0
1928-10-25,21.91,21.91,21.91,21.91,0.0
1928-10-26,21.65,21.65,21.65,21.65,0.0
1928-10-29,22.0,22.0,22.0,22.0,0.0
1928-10-30,21.76,21.76,21.76,21.76,0.0
1928-10-31,21.68,21.68,21.68,21.68,0.0
1928-11-01,21.99,21.99,21.99,21.99,0.0
1928-11-02,21.95,21.95,21.95,21.95,0.0
1928-11-05,22.24,22.24,22.24,22.24,0.0
1928-11-07,22.24,22.24,22.24,22.24,0.0
1928-11-08,22.39,22.39,22.39,22.39,0.0
1928-11-09,22.55,22.55,22.55,22.55,0.0
1928-11-12,22.84,22.84,22.84,22.84,0.0
1928-11-13,22.91,22.91,22.91,22.91,0.0
1928-11-14,22.91,22.91,22.91,22.91,0.0
1928-11-15,23.03,23.03,23.03,23.03,0.0
1928-11-16,23.37,23.37,23.37,23.37,0.0
1928-11-19,23.37,23.37,23.37,23.37,0.0
1928-11-20,23.57,23.57,23.57,23.57,0.0
1928-11-21,23.22,23.22,23.22,23.22,0.0
1928-11-22,23.52,23.52,23.52,23.52,0.0
1928-11-23,23.7,23.7,23.7,23.7,0.0
1928-11-26,23.8,23.8,23.8,23.8,0.0
1928-11-27,23.91,23.91,23.91,23.91,0.0
1928-11-28,24.19,24.19,24.19,24.19,0.0
1928-11-30,24.28,24.28,24.28,24.28,0.0
1928-12-03,23.85,23.85,23.85,23.85,0.0
1928-12-04,23.91,23.91,23.91,23.91,0.0
1928-12-05,23.81,23.81,23.81,23.81,0.0
1928-12-06,22.91,22.91,22.91,22.91,0.0
1928-12-07,22.36,22.36,22.36,22.36,0.0
1928-12-10,22.31,22.31,22.31,22.31,0.0
1928-12-11,22.74,22.74,22.74,22.74,0.0
1928-12-12,22.52,22.52,22.52,22.52,0.0
1928-12-13,22.48,22.48,22.48,22.48,0.0
